MMID,code,SiteID,exp,tag_sequencing,Metagenome_reads,Contigs,latitude,longitude,Altitude,sample_type,location1,location2,location3,location4,site_name,geotype1,tectonics1,tectonics2,tectonics3,tectonics4,aersub1,macrostrat_ID,macrostrat,macrostrat_type,macrostrat_siplified_type,mindat_id,mindat_lat,mindat_long,distance_to_mindat_km,mineral_list_csv,Temp,Salinity,pH,do,toc,tn,dic,co2,he,n2,doc,ch4,h2,o2,w_g,rc_ra,f,cl,so4,br,h2s,no_3,nh4,po4,li,na,nh4,k,mg,ca,si,database_solid,database_soli_id,material,rock_type,sample_name,lat_d,long_d,major_sum,sio2_d,tio2_d,al2o3_d,FEOt_d,mno_d,mgo_d,cao_d,na2o_d,k2o_d,p2o5_d,h2op_d,cu_d,co_d,mo_d,ni_d,v_d,zn_d,ba_d,be_d,ce_d,cr_d,dy_d,er_d,eu_d,ga_d,gd_d,ho_d,la_d,li_d,lu_d,nb_d,nd_d,pb_d,pr_d,rb_d,sc_d,sm_d,sr_d,ta_d,tb_d,th_d,ti_d,tl_d,u_d,w_d,y_d,yb_d,zr_d,DPM,CT,SedThic_On,DistCoast,DSub,DMOR,DOT,DHS,DV,DMUSGS,DEQ,HF,PV,elv,slab_name,DCS,SDepth,SDip,ConvR,ConvObl,ConvAge,code_bis,Cl_Set,Ca_Set,TAS
AG170420.f_S44247,AG_f,AG,CR17AGF,AG170420.f_S44247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR18BCF,BC_f,BC,CR18,BC180410.f_S44255,NA,NA,8.806037,-79.790968,18,fluid,Central_America,Panama,Panama slab window,NA,Los Bajos the Corera (shit pool),spring,plate margin,convergent,oceanic-continental subduction,Arc,aerial,951702,felsic,igneous,granite,300983,8.78305556,-79.55,26.557502,"""Hematite""",31.8,23.87,7.5,51,NA,NA,56.85,996.8411,0,1.446355,NA,0.026547,0,1.607971,g,3.99,0.005789960346,165.5380363,0.4191477549,0.14,NA,NA,NA,NA,0.202,56.462,NA,1.524,2.09,0.27,NA,EarthChem,CG-05-24-06-03,whole_rock,"IGNEOUS, VOLCANIC, FELSIC, DACITE",CG-05-24-06-03,8.6244,-80.1193,100,68.94,0.25,17.1,2.6,0.06,1.04,3.77,4.51,1.66,0.07,NA,20,NA,NA,21,NA,38,541.24,NA,18.77,NA,0.88,0.25,0.57,NA,1.49,0.16,9.11,NA,0.03,2.14,7.38,7.28,1.96,14,NA,1.56,776,0.12,0.21,3.07,NA,NA,1.42,NA,4.69,0.46,92.85,1080.147247,24.03455597,461.997,17.61325445,205.6776725,640.4940088,349.156675,1667.611442,48.61955625,940.7255268,124.1901735,78.96003507,1.871906108,26.87850351,sam,234.1919474,-8.549098969,7.393302441,2.645936966,-0.42929703,109.2927704,BC,Perypheral geothermal,Mature deep,Rhyolite
CR17BRF2,BR2_f,BR2,CR17,BRF2.BR170218.2_S38591,CR17BRF2,CR17BRF2,10.89837,-85.32853,434,fluid,Central_America,Costa_Rica,Active volcanic arc,Guanacaste_region,Blue River 1,spring,plate margin,convergent,oceanic-continental subduction,Arc,aerial,951224,felsic,igneous,granite,187362,10.5111111,-85.3175,3.71917272,"Analcime,Awaruite,Bornite,Braunite,Brucite,Calcite,Chalcocite,Chalcopyrite,Chromite,Copper,Covellite,Cowlesite,Cristobalite,Cubanite,Cuprite,Erlichmanite,Galena,Gold,Heazlewoodite,Hematite,Hollandite,Kaolinite,Laumontite,Laurite,Magnetite,Mesolite,Offretite,Opal,Osmium,Pentlandite,Polydymite,Pyrite,Pyrolusite,Pyrrhotite,Quartz,Samaniite,Smythite,Sphalerite,Stibnite,Sugakiite,Taenite,Talc,Thomsonite-Ca,Violarite",53,3.252,6.16,41,1.2419807,0.15,9.31,NA,NA,NA,0.89,NA,NA,NA,g,6.52,0,16.75222,3.72,0.009033625,0,0,0.52,0.001540315789,0.01865142857,5.524147391,0.0001266666667,1.746733248,6.75,5.45,549.192,RU_CA,CR-RV-02-52,whole_rock,NA,CR-RV-02-52,10.89743333,-85.31481667,98.3534515,57.81,0.71,16.68,7.3334515,0.14,3.7,7.11,2.86,1.81,0.2,NA,129.42,477.27,20.56,21.14,69.07,5.45,1.29,21.24,0.67,41.87,3.51,0.38,0.34,1.84,2.21,0.31,4.54,184.25,3.93,5.25,0.78,102.9,3.78,1.09,125.71,2.23,893.38,10.89743333,0.34,1.81,NA,891.7,1.5,-85.31481667,18.18,4.49,39.11,639.1,37.5,1040.1,24.3,160.9,836.6,444.3,1413.3,8.4,1475.1,16.5,83.9,1.5,441.6,cam,4.1,-87.1,51.5,8.4,4.8,102.4,BR2,Perypheral geothermal,calcite,Andesite
CR17BRS1,BR_s,BR,CR17,BRS1.BR170218.1_S38588,CR17BRS1,CR17BRS1,10.89837,-85.32853,437,sediment,Central_America,Costa_Rica,Active volcanic arc,Guanacaste_region,Blue River 1,spring,plate margin,convergent,oceanic-continental subduction,Arc,aerial,951224,felsic,igneous,granite,187362,10.5111111,-85.3175,3.71917272,"Analcime,Awaruite,Bornite,Braunite,Brucite,Calcite,Chalcocite,Chalcopyrite,Chromite,Copper,Covellite,Cowlesite,Cristobalite,Cubanite,Cuprite,Erlichmanite,Galena,Gold,Heazlewoodite,Hematite,Hollandite,Kaolinite,Laumontite,Laurite,Magnetite,Mesolite,Offretite,Opal,Osmium,Pentlandite,Polydymite,Pyrite,Pyrolusite,Pyrrhotite,Quartz,Samaniite,Smythite,Sphalerite,Stibnite,Sugakiite,Taenite,Talc,Thomsonite-Ca,Violarite",59,3.252,6.16,41,1.646881,0.15,9.56,946.9,0.00748,47.54107,0.8,1.71451,0.00046,2.5919,g,6.52,,,,,NA,0,NA,,,,,,,,NA,RU_CA,CR-RV-02-52,whole_rock,NA,CR-RV-02-52,10.89743333,-85.31481667,98.3534515,57.81,0.71,16.68,7.3334515,0.14,3.7,7.11,2.86,1.81,0.2,NA,129.42,477.27,20.56,21.14,69.07,5.45,1.29,21.24,0.67,41.87,3.51,0.38,0.34,1.84,2.21,0.31,4.54,184.25,3.93,5.25,0.78,102.9,3.78,1.09,125.71,2.23,893.38,10.89743333,0.34,1.81,NA,891.7,1.5,-85.31481667,18.18,4.49,39.11,639.1,37.5,1040.1,24.3,160.9,836.6,444.3,1413.3,8.4,1475.1,16.5,83.9,1.5,441.6,cam,4.1,-87.1,51.5,8.4,4.8,102.4,BR1,Perypheral geothermal,calcite,Andesite
CR17BRF1,BR_f,BR,CR17,BRF1.BR170218.1_S38601,CR17BRF1,CR17BRF1,10.89837,-85.32853,437,fluid,Central_America,Costa_Rica,Active volcanic arc,Guanacaste_region,Blue River 2,spring,plate margin,convergent,oceanic-continental subduction,Arc,aerial,951224,felsic,igneous,granite,187362,10.5111111,-85.3175,3.71917272,"Analcime,Awaruite,Bornite,Braunite,Brucite,Calcite,Chalcocite,Chalcopyrite,Chromite,Copper,Covellite,Cowlesite,Cristobalite,Cubanite,Cuprite,Erlichmanite,Galena,Gold,Heazlewoodite,Hematite,Hollandite,Kaolinite,Laumontite,Laurite,Magnetite,Mesolite,Offretite,Opal,Osmium,Pentlandite,Polydymite,Pyrite,Pyrolusite,Pyrrhotite,Quartz,Samaniite,Smythite,Sphalerite,Stibnite,Sugakiite,Taenite,Talc,Thomsonite-Ca,Violarite",59,3.252,6.16,7,1.646881,0.15,9.56,946.9,0.00748,47.54107,0.8,1.71451,0.00046,2.5919,g,6.52,0.02054157895,29.0267707,4.23,0.01753425,0,0,0.52,0.001300210526,0.03108857143,9.281077826,0,3.034424552,11.56,5.85,653.8,RU_CA,CR-RV-02-52,whole_rock,NA,CR-RV-02-52,10.89743333,-85.31481667,98.3534515,57.81,0.71,16.68,7.3334515,0.14,3.7,7.11,2.86,1.81,0.2,NA,129.42,477.27,20.56,21.14,69.07,5.45,1.29,21.24,0.67,41.87,3.51,0.38,0.34,1.84,2.21,0.31,4.54,184.25,3.93,5.25,0.78,102.9,3.78,1.09,125.71,2.23,893.38,10.89743333,0.34,1.81,NA,891.7,1.5,-85.31481667,18.18,4.49,39.11,639.1,37.5,1040.1,24.3,160.9,836.6,444.3,1413.3,8.4,1475.1,16.5,83.9,1.5,441.6,cam,4.1,-87.1,51.5,8.4,4.8,102.4,BR1,Perypheral geothermal,calcite,Andesite
CR17BRS2,BR2_s,BR2,CR17,BRS2.BR170218.2_S38584,CR17BRS2,CR17BRS2,10.89837,-85.32853,434,sediment,Central_America,Costa_Rica,Active volcanic arc,Guanacaste_region,Blue River 2,spring,plate margin,convergent,oceanic-continental subduction,Arc,aerial,951224,felsic,igneous,granite,187362,10.5111111,-85.3175,3.71917272,"Analcime,Awaruite,Bornite,Braunite,Brucite,Calcite,Chalcocite,Chalcopyrite,Chromite,Copper,Covellite,Cowlesite,Cristobalite,Cubanite,Cuprite,Erlichmanite,Galena,Gold,Heazlewoodite,Hematite,Hollandite,Kaolinite,Laumontite,Laurite,Magnetite,Mesolite,Offretite,Opal,Osmium,Pentlandite,Polydymite,Pyrite,Pyrolusite,Pyrrhotite,Quartz,Samaniite,Smythite,Sphalerite,Stibnite,Sugakiite,Taenite,Talc,Thomsonite-Ca,Violarite",53,3.252,6.16,7,1.2419807,0.02,9.31,NA,NA,NA,0.89,NA,NA,NA,g,6.52,,,,,NA,0,NA,,,,,,,,NA,RU_CA,CR-RV-02-52,whole_rock,NA,CR-RV-02-52,10.89743333,-85.31481667,98.3534515,57.81,0.71,16.68,7.3334515,0.14,3.7,7.11,2.86,1.81,0.2,NA,129.42,477.27,20.56,21.14,69.07,5.45,1.29,21.24,0.67,41.87,3.51,0.38,0.34,1.84,2.21,0.31,4.54,184.25,3.93,5.25,0.78,102.9,3.78,1.09,125.71,2.23,893.38,10.89743333,0.34,1.81,NA,891.7,1.5,-85.31481667,18.18,4.49,39.11,639.1,37.5,1040.1,24.3,160.9,836.6,444.3,1413.3,8.4,1475.1,16.5,83.9,1.5,441.6,cam,4.1,-87.1,51.5,8.4,4.8,102.4,BR2,Perypheral geothermal,calcite,Andesite
CR18BSS,BS_s,BS,CR18,BS180407.s_S44236,CR18BSS,NA,8.66645,-82.3491,360,sediment,Central_America,Panama,Cordillera Talamanca,NA,Bajo Mendez Spring,spring,plate margin,convergent,oceanic-continental subduction,Arc,aerial,948780,felsic,igneous,granite,155979,8.63305556,-82.199722,17.0327101,"""Bornite,Chalcopyrite,Copper,Epidote,Magnetite,Malachite,Muscovite,Pyrite,Quartz""",40.9,3.1,9.05,20,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,g,0.06,,,,,NA,NA,NA,,,,,,,,NA,EarthChem,M55KH,whole_rock,"IGNEOUS,VOLCANIC,INTERMEDIATE,ADAKITE",M55KH,8.796,-82.474,98.4906168,55.91,0.76,16.44,6.5506168,0.12,5.11,8.1,3.29,1.92,0.29,NA,NA,NA,NA,NA,205.5,NA,1291.24,NA,62.87,117.67,2.2,1.11,0.44,NA,3.49,0.4,33.02,NA,0.15,6.51,27.9,6.34,7.63,47,NA,4.45,1370,0.34,0.44,7.7,NA,NA,2.23,NA,11.26,1.03,126,956.544842,25.65134228,650.275,38.96783631,132.9213704,544.602729,109.8335162,1436.617728,26.37115657,1083.468752,46.18255015,104.9071921,2.042522141,408.0126622,cam,60.66341758,-52.78089142,43.06199646,8.821093559,7.82282114,109.0634842,BS,,Mature deep,Andesite
CR18BSF,BS_f,BS,CR18,BS180407.f_S44254,NA,NA,8.66645,-82.3491,360,fluid,Central_America,Panama,Cordillera Talamanca,NA,Bajo Mendez Spring,spring,plate margin,convergent,oceanic-continental subduction,Arc,aerial,948780,felsic,igneous,granite,155979,8.63305556,-82.199722,17.0327101,"""Bornite,Chalcopyrite,Copper,Epidote,Magnetite,Malachite,Muscovite,Pyrite,Quartz""",40.9,3.1,9.05,20,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,w,5.72,NA,NA,NA,NA,NA,NA,NA,NA,0.008,8.527,NA,0.077,0.07,5.24,NA,EarthChem,M55KH,whole_rock,"IGNEOUS,VOLCANIC,INTERMEDIATE,ADAKITE",M55KH,8.796,-82.474,98.4906168,55.91,0.76,16.44,6.5506168,0.12,5.11,8.1,3.29,1.92,0.29,NA,NA,NA,NA,NA,205.5,NA,1291.24,NA,62.87,117.67,2.2,1.11,0.44,NA,3.49,0.4,33.02,NA,0.15,6.51,27.9,6.34,7.63,47,NA,4.45,1370,0.34,0.44,7.7,NA,NA,2.23,NA,11.26,1.03,126,956.544842,25.65134228,650.275,38.96783631,132.9213704,544.602729,109.8335162,1436.617728,26.37115657,1083.468752,46.18255015,104.9071921,2.042522141,408.0126622,cam,60.66341758,-52.78089142,43.06199646,8.821093559,7.82282114,109.0634842,BS,,Mature deep,Andesite
CR18BWF,BW_f,BW,CR18,BW180407.f_S44257,BW,CR18BW,8.66581,-82.34867,362,fluid,Central_America,Panama,Cordillera Talamanca,Bajo Mendez Well,Bajo Mendez Well,spring,plate margin,convergent,oceanic-continental subduction,Arc,aerial,3188281,felsic,igneous,granite,132471,8.36555556,-82.369167,4.99019856,Mesolite,43.2,3.13,9.05,3,NA,NA,0.36,0,0.778643,962.8881,,0.379047,0.006147,28.44511,w,NA,0.00736904044,21.54044322,1.29158859,0.02,NA,NA,NA,NA,0.007,17.099,0.483,0.081,0.07,8.41,NA,EarthChem,M55KH,whole_rock,"IGNEOUS,VOLCANIC,INTERMEDIATE,ADAKITE",M55KH,8.796,-82.474,98.4906168,55.91,0.76,16.44,6.5506168,0.12,5.11,8.1,3.29,1.92,0.29,NA,NA,NA,NA,NA,205.5,NA,1291.24,NA,62.87,117.67,2.2,1.11,0.44,NA,3.49,0.4,33.02,NA,0.15,6.51,27.9,6.34,7.63,47,NA,4.45,1370,0.34,0.44,7.7,NA,NA,2.23,NA,11.26,1.03,126,956.628206639,25.648508711,648.054,39.0328074777,132.907988364,544.534603522,109.790739337,1436.60648692,26.4529433113,1083.38416943,46.2157430461,104.90206719,2.04276645209,407.466149815,cam,60.7086853981,-52.7808914185,43.06199646,8.82109355927,7.82282114029,109.063484192,BW,Deep Chloride-sulfate,Mature deep,Andesite
CR18CHS,CH_s,CH,CR18,CH180410.s_S44250,CR18CHS,NA,8.70508,-80.26919,216,sediment,Central_America,Panama,Panama slab window,Chiguiri Abajo,Chiguiri Abajo,spring,plate margin,convergent,oceanic-continental subduction,Arc,aerial,3188281,felsic,igneous,granite,25585,8.42083333,-80.426944,18.3244195,"Acanthite,Aguilarite,Albite,Alunite,Analcime,Anhydrite,Arsenopyrite,Baryte,Bornite,Calcite,Celadonite,Chalcocite,Chalcopyrite,Clinochlore,Copper,Covellite,Cubanite,Cuprite,Dickite,Digenite,Enargite,Epidote,Galena,Goethite,Gold,Gypsum,Halite,Hematite,Ilmenite,Jarosite,Kaolinite,Laumontite,Magnetite,Malachite,Marcasite,Mesolite,Molybdenite,Montmorillonite,Muscovite,Natroalunite,Natrolite,Opal,Pyrite,Pyrophyllite,Pyrrhotite,Quartz,Rutile,Siderite,Silver,Sphalerite,Tetrahedrite,Titanite,Tridymite",31.1,15.3,7,41,12.93,NA,37.97,984.5248,0.015405,13.16284,NA,0.04528,0.000177,1.874978,g,6.39,,,,,NA,NA,NA,,,,,,,,NA,EarthChem,CG-05-24-06-3B,whole_rock,"IGNEOUS,VOLCANIC,FELSIC,DACITE",CG-05-24-06-3B,8.6244,-80.1193,99.3485611,68.06,0.25,17.5,2.0785611,0.06,1.07,4.13,4.62,1.52,0.06,NA,16,NA,NA,21,NA,37,486.05,NA,16.85,NA,0.86,0.22,0.56,NA,NA,0.14,8.15,NA,0.03,1.88,6.89,4.91,1.76,13,NA,1.43,787,0.07,0.19,2.45,NA,NA,1.17,NA,4.47,0.39,84.7,1059.5,23.7,315.2,40.6,234.3,606.3,295.8,1618.3,17.6,955.4,149,81.9,1.9,203.8,sam,255.7,-5,6.1,5.3,67,111.4,CH,Perypheral geothermal,Mature deep,Rhyolite
CR18CHF,CH_f,CH,CR18,CH180410.f_S44256,NA,NA,8.70508,-80.26919,216,fluid,Central_America,Panama,Panama slab window,Chiguiri Abajo,Chiguiri Abajo,spring,plate margin,convergent,oceanic-continental subduction,Arc,aerial,3188281,felsic,igneous,granite,25585,8.42083333,-80.426944,18.3244195,"Acanthite,Aguilarite,Albite,Alunite,Analcime,Anhydrite,Arsenopyrite,Baryte,Bornite,Calcite,Celadonite,Chalcocite,Chalcopyrite,Clinochlore,Copper,Covellite,Cubanite,Cuprite,Dickite,Digenite,Enargite,Epidote,Galena,Goethite,Gold,Gypsum,Halite,Hematite,Ilmenite,Jarosite,Kaolinite,Laumontite,Magnetite,Malachite,Marcasite,Mesolite,Molybdenite,Montmorillonite,Muscovite,Natroalunite,Natrolite,Opal,Pyrite,Pyrophyllite,Pyrrhotite,Quartz,Rutile,Siderite,Silver,Sphalerite,Tetrahedrite,Titanite,Tridymite",31.1,15.3,7,41,12.93,NA,37.97,984.5248,0.015405,13.16284,NA,0.04528,0.000177,1.874978,g,6.39,0.01245718741,74.9614043,16.87410646,0.07,NA,NA,NA,NA,0.1,72.424,NA,1.599,1.64,2.05,NA,EarthChem,CG-05-24-06-3B,whole_rock,"IGNEOUS,VOLCANIC,FELSIC,DACITE",CG-05-24-06-3B,8.6244,-80.1193,99.3485611,68.06,0.25,17.5,2.0785611,0.06,1.07,4.13,4.62,1.52,0.06,NA,16,NA,NA,21,NA,37,486.05,NA,16.85,NA,0.86,0.22,0.56,NA,NA,0.14,8.15,NA,0.03,1.88,6.89,4.91,1.76,13,NA,1.43,787,0.07,0.19,2.45,NA,NA,1.17,NA,4.47,0.39,84.7,1059.5,23.7,315.2,40.6,234.3,606.3,295.8,1618.3,17.6,955.4,149,81.9,1.9,203.8,sam,255.7,-5,6.1,5.3,67,111.4,CH,Perypheral geothermal,Mature deep,Rhyolite
CR18CIS,CI_s,CI,CR18,CI180408.s_S44274,CR18CIS,NA,7.44104,-81.73277,50,sediment,Central_America,Panama,Panama slab window,Coiba Island,Coiba Island,spring,plate margin,convergent,oceanic-continental subduction,Outer Forearc,aerial,3184392,sedimentary rocks,sedimentary,sedimentary,25584,8.30722222,-81.828611,17.4114968,"Acanthite,Aguilarite,Anhydrite,Arsenopyrite,Baryte,Bornite,Calcite,Celadonite,Chalcocite,Chalcopyrite,Copper,Covellite,Digenite,Epidote,Gold,Gypsum,Hematite,Jarosite,Kaolinite,Magnetite,Malachite,Marcasite,Molybdenite,Montmorillonite,Muscovite,Opal,Pyrite,Pyrophyllite,Pyrrhotite,Quartz,Siderite",48.3,1.11,9,18,NA,NA,0.12,944.5544,0.002026,44.42805,NA,0.082702,0.001723,10.29993,g,1.31,,,,,NA,NA,NA,,,,,,,,NA,EarthChem,DB05-073,whole_rock,"IGNEOUS,VOLCANIC,MAFIC,BASALT",DB05-073,7.49364,-81.1969,97.2138834,49.34,0.99,13.88,10.0238834,0.18,8.18,11.85,2.57,0.13,0.07,NA,NA,NA,NA,111,344,NA,42,NA,6.88,258,3.31,2.13,0.72,NA,2.65,0.72,2.48,NA,0.32,3.02,5.89,0.36,1,1.25,52,1.98,106,NA,0.49,0.2,NA,NA,0.12,NA,19.03,2.29,43.9,1107.7,17.6,41.3,6.3,126.3,419.8,117.3,1405.7,151.9,936.7,10.3,102.8,3.3,103,cam,128.9,-5.8,8.8,5.9,55.5,111,CI,Acidic chloride-sulfate waters,Mature deep,Basalt
CR18CIF,CI_f,CI,CR18,CI180408.f_S44259,NA,NA,7.44104,-81.73277,50,fluid,Central_America,Panama,Panama slab window,Coiba Island,Coiba Island,spring,plate margin,convergent,oceanic-continental subduction,Outer Forearc,aerial,3184392,sedimentary rocks,sedimentary,sedimentary,25584,8.30722222,-81.828611,17.4114968,"Acanthite,Aguilarite,Anhydrite,Arsenopyrite,Baryte,Bornite,Calcite,Celadonite,Chalcocite,Chalcopyrite,Copper,Covellite,Digenite,Epidote,Gold,Gypsum,Hematite,Jarosite,Kaolinite,Magnetite,Malachite,Marcasite,Molybdenite,Montmorillonite,Muscovite,Opal,Pyrite,Pyrophyllite,Pyrrhotite,Quartz,Siderite",48.3,1.11,9,18,NA,NA,0.12,944.5544,0.002026,44.42805,NA,0.082702,0.001723,10.29993,g,1.31,NA,2.311981121,3.506350198,0,NA,NA,NA,NA,0.001,8.761,0.323,0.06,0.26,0.51,NA,EarthChem,DB05-073,whole_rock,"IGNEOUS,VOLCANIC,MAFIC,BASALT",DB05-073,7.49364,-81.1969,97.2138834,49.34,0.99,13.88,10.0238834,0.18,8.18,11.85,2.57,0.13,0.07,NA,NA,NA,NA,111,344,NA,42,NA,6.88,258,3.31,2.13,0.72,NA,2.65,0.72,2.48,NA,0.32,3.02,5.89,0.36,1,1.25,52,1.98,106,NA,0.49,0.2,NA,NA,0.12,NA,19.03,2.29,43.9,1107.7,17.6,41.3,6.3,126.3,419.8,117.3,1405.7,151.9,936.7,10.3,102.8,3.3,103,cam,128.9,-5.8,8.8,5.9,55.5,111,CI,Acidic chloride-sulfate waters,Mature deep,Basalt
CR18CLF,CL_f,CL,CR18,CL180410.f_S44258,NA,NA,8.40448,-80.80375,289,fluid,Central_America,Panama,Panama slab window,Calobre,Calobre,spring,plate margin,convergent,oceanic-continental subduction,Arc,aerial,955913,felsic,igneous,granite,132473,8.83277778,-80.666667,17.062653,"Albite,Arsenopyrite,Bornite,Chalcocite,Chalcopyrite,Copper,Covellite,Cubanite,Cuprite,Epidote,Galena,Goethite,Gold,Hematite,Ilmenite,Kaolinite,Magnetite,Molybdenite,Muscovite,Pyrite,Sphalerite,Tetrahedrite,Titanite",50.9,3.26,7.5,29,0.14,NA,0.74,17.5759,0.498314,963.445,NA,2.517042,0.003924,4.780743,g,8.86,NA,6.932840662,9.98438476,0,NA,NA,NA,NA,0.02,19.358,NA,0.15,0.38,3.99,NA,EarthChem,11-10-88,whole_rock,"IGNEOUS,VOLCANIC,MAFIC,BASALT",11-10-88,8.47,-80.82,99.1276352,74.6,0.32,13.2,1.7276352,0.03,0.45,2.04,3.52,3.18,0.06,0.65,NA,NA,NA,0,NA,NA,1350,NA,35,3,3,1.8,0.76,NA,2.6,0.59,20.1,NA,0.29,12,17.4,NA,NA,92,NA,3.2,284,NA,0.4,4.4,NA,NA,1.6,NA,24,2,101,1057.1,22.8,6.8,41.1,255.8,552.4,229.4,1551.1,7.7,957.8,103.7,87.3,2,396.1,cam,230.9,-33.2,36.8,5.9,55.5,111,CL,Acidic chloride-sulfate waters,Mature deep,Rhyolite
