MMID,code,SiteID,exp,tag_sequencing,Metagenome_reads,Contigs,latitude,longitude,Altitude,sample_type,location1,location2,location3,location4,site_name,geotype1,tectonics1,tectonics2,tectonics3,tectonics4,aersub1,macrostrat_ID,macrostrat,macrostrat_type,macrostrat_siplified_type,mindat_id,mindat_lat,mindat_long,distance_to_mindat_km,mineral_list_csv,Temp,Salinity,pH,do,toc,tn,dic,co2,he,n2,doc,ch4,h2,o2,w_g,rc_ra,f,cl,so4,br,h2s,no_3,nh4,po4,li,na,nh4,k,mg,ca,si,database_solid,database_soli_id,material,rock_type,sample_name,lat_d,long_d,major_sum,sio2_d,tio2_d,al2o3_d,FEOt_d,mno_d,mgo_d,cao_d,na2o_d,k2o_d,p2o5_d,h2op_d,cu_d,co_d,mo_d,ni_d,v_d,zn_d,ba_d,be_d,ce_d,cr_d,dy_d,er_d,eu_d,ga_d,gd_d,ho_d,la_d,li_d,lu_d,nb_d,nd_d,pb_d,pr_d,rb_d,sc_d,sm_d,sr_d,ta_d,tb_d,th_d,ti_d,tl_d,u_d,w_d,y_d,yb_d,zr_d,DPM,CT,SedThic_On,DistCoast,DSub,DMOR,DOT,DHS,DV,DMUSGS,DEQ,HF,PV,elv,slab_name,DCS,SDepth,SDip,ConvR,ConvObl,ConvAge,code_bis,Cl_Set,Ca_Set,TAS
CR18CLS,CL_s,CL,CR18,CL180410.s_S44273,NA,NA,8.40448,-80.80375,289,sediment,Central_America,Panama,Panama slab window,Calobre,Calobre,spring,plate margin,convergent,oceanic-continental subduction,Arc,aerial,955913,felsic,igneous,granite,132473,8.83277778,-80.666667,17.062653,"Albite,Arsenopyrite,Bornite,Chalcocite,Chalcopyrite,Copper,Covellite,Cubanite,Cuprite,Epidote,Galena,Goethite,Gold,Hematite,Ilmenite,Kaolinite,Magnetite,Molybdenite,Muscovite,Pyrite,Sphalerite,Tetrahedrite,Titanite",50.9,3.26,7.5,29,0.14,NA,0.74,17.5759,0.498314,963.445,NA,2.517042,0.003924,4.780743,g,8.86,,,,,NA,NA,NA,,,,,,,,NA,EarthChem,11-10-88,whole_rock,"IGNEOUS,VOLCANIC,MAFIC,BASALT",11-10-88,8.47,-80.82,99.1276352,74.6,0.32,13.2,1.7276352,0.03,0.45,2.04,3.52,3.18,0.06,0.65,NA,NA,NA,0,NA,NA,1350,NA,35,3,3,1.8,0.76,NA,2.6,0.59,20.1,NA,0.29,12,17.4,NA,NA,92,NA,3.2,284,NA,0.4,4.4,NA,NA,1.6,NA,24,2,101,1057.1,22.8,6.8,41.1,255.8,552.4,229.4,1551.1,7.7,957.8,103.7,87.3,2,396.1,cam,230.9,-33.2,36.8,5.9,55.5,111,CL,Acidic chloride-sulfate waters,Mature deep,Rhyolite
CR18CVS,CV_s,CV,CR18,CV180410.s_S44253,CR18CVS,NA,8.5992,-80.13162,639,sediment,Central_America,Panama,Panama slab window,Casa Valmor,Casa Valmor,spring,plate margin,convergent,oceanic-continental subduction,Arc,aerial,3188281,felsic,igneous,granite,25585,8.42083333,-80.426944,33.0088504,"Acanthite,Aguilarite,Albite,Alunite,Analcime,Anhydrite,Arsenopyrite,Baryte,Bornite,Calcite,Celadonite,Chalcocite,Chalcopyrite,Clinochlore,Copper,Covellite,Cubanite,Cuprite,Dickite,Digenite,Enargite,Epidote,Galena,Goethite,Gold,Gypsum,Halite,Hematite,Ilmenite,Jarosite,Kaolinite,Laumontite,Magnetite,Malachite,Marcasite,Mesolite,Molybdenite,Montmorillonite,Muscovite,Natroalunite,Natrolite,Opal,Pyrite,Pyrophyllite,Pyrrhotite,Quartz,Rutile,Siderite,Silver,Sphalerite,Tetrahedrite,Titanite,Tridymite",34.9,3.75,7.46,14,NA,NA,0.89,924.5868,0.017625,73.03545,NA,0.018978,0.003797,0.68683,w,8.37,,,,,NA,NA,NA,,,,,,,,NA,EarthChem,CG-05-24-06-3B,whole_rock,"IGNEOUS,VOLCANIC,FELSIC,DACITE",CG-05-24-06-3B,8.6244,-80.1193,99.3485611,68.06,0.25,17.5,2.0785611,0.06,1.07,4.13,4.62,1.52,0.06,NA,16,NA,NA,21,NA,37,486.05,NA,16.85,NA,0.86,0.22,0.56,NA,NA,0.14,8.15,NA,0.03,1.88,6.89,4.91,1.76,13,NA,1.43,787,0.07,0.19,2.45,NA,NA,1.17,NA,4.47,0.39,84.7,1077.6,23.3,157.4,30.8,215.2,602.6,306.4,1623.8,5.7,937.8,145.8,80.6,2,603.2,sam,236.7,-5,6.1,5.3,67,111.4,CV,Deep Chloride-sulfate,Mature deep,Rhyolite
CR18CVF,CV_f,CV,CR18,CV180410.f_S44261,NA,NA,8.5992,-80.13162,639,fluid,Central_America,Panama,Panama slab window,Casa Valmor,Casa Valmor,spring,plate margin,convergent,oceanic-continental subduction,Arc,aerial,3188281,felsic,igneous,granite,25585,8.42083333,-80.426944,33.0088504,"Acanthite,Aguilarite,Albite,Alunite,Analcime,Anhydrite,Arsenopyrite,Baryte,Bornite,Calcite,Celadonite,Chalcocite,Chalcopyrite,Clinochlore,Copper,Covellite,Cubanite,Cuprite,Dickite,Digenite,Enargite,Epidote,Galena,Goethite,Gold,Gypsum,Halite,Hematite,Ilmenite,Jarosite,Kaolinite,Laumontite,Magnetite,Malachite,Marcasite,Mesolite,Molybdenite,Montmorillonite,Muscovite,Natroalunite,Natrolite,Opal,Pyrite,Pyrophyllite,Pyrrhotite,Quartz,Rutile,Siderite,Silver,Sphalerite,Tetrahedrite,Titanite,Tridymite",34.9,3.75,7.46,14,NA,NA,0.89,924.5868,0.017625,73.03545,NA,0.018978,0.003797,0.68683,w,8.37,NA,21.9334518,0.1913040461,0.02,NA,NA,NA,NA,0.024,15.049,0.756,0.166,2.43,0.58,NA,EarthChem,CG-05-24-06-3B,whole_rock,"IGNEOUS,VOLCANIC,FELSIC,DACITE",CG-05-24-06-3B,8.6244,-80.1193,99.3485611,68.06,0.25,17.5,2.0785611,0.06,1.07,4.13,4.62,1.52,0.06,NA,16,NA,NA,21,NA,37,486.05,NA,16.85,NA,0.86,0.22,0.56,NA,NA,0.14,8.15,NA,0.03,1.88,6.89,4.91,1.76,13,NA,1.43,787,0.07,0.19,2.45,NA,NA,1.17,NA,4.47,0.39,84.7,1077.6,23.3,157.4,30.8,215.2,602.6,306.4,1623.8,5.7,937.8,145.8,80.6,2,603.2,sam,236.7,-5,6.1,5.3,67,111.4,CV,Deep Chloride-sulfate,Mature deep,Rhyolite
CR18CWS,CW_s,CW,CR18,CW180415.s_S44248,CR18CWS,NA,9.735746,-82.825737,8,sediment,Central_America,Costa_Rica,Active volcanic backarc,Cauhita Well,Cauhita Well,spring,plate margin,convergent,oceanic-continental subduction,Backarc,aerial,968071,sedimentary,sedimentary,sedimentary,206331,9.36916667,-82.976389,17.4926678,"Alunite,Baryte,Bornite,Chalcocite,Chalcopyrite,Epidote,Galena,Gold,Kaolinite,Muscovite,Pyrite,Sphalerite",NA,NA,NA,NA,14.8,NA,NA,54.4464,0.01038,99.20419,NA,833.6346,0.016194,10.98285,g,2.1,,,,,NA,NA,NA,,,,,,,,NA,EarthChem,M44KH,whole_rock,"IGNEOUS,VOLCANIC,INTERMEDIATE,ADAKITE",M44KH,9.669,-82.621,98.4636035,54.91,0.73,15.77,6.6136035,0.11,7.04,8.2,3.19,1.61,0.29,NA,NA,NA,NA,NA,185.04,NA,NA,NA,43.82,237.01,2,0.98,0.65,NA,2.99,0.36,23.5,NA,0.13,6.78,19.85,5.68,5.35,30,NA,3.55,1120,0.36,0.39,4.15,NA,NA,1.35,NA,10.02,0.9,91,827.273664,30.06499114,2923.84,62.7042573,202.4336561,662.5018013,217.016047,1480.57998,104.9572002,1208.033901,27.46251443,99.40435094,1.723854834,-6.661390968,cam,8.864383101,-142.9846802,52.2225647,8.71883297,7.915157318,107.4337692,CW,Perypheral geothermal,Mature deep,Andesite
CR18CWF,CW_f,CW,CR18,CW180415.f_S44267,NA,NA,9.735746,-82.825737,8,fluid,Central_America,Costa_Rica,Active volcanic backarc,Cauhita Well,Cauhita Well,spring,plate margin,convergent,oceanic-continental subduction,Backarc,aerial,968071,sedimentary,sedimentary,sedimentary,206331,9.36916667,-82.976389,17.4926678,"Alunite,Baryte,Bornite,Chalcocite,Chalcopyrite,Epidote,Galena,Gold,Kaolinite,Muscovite,Pyrite,Sphalerite",NA,NA,NA,NA,14.8,NA,NA,54.4464,0.01038,99.20419,NA,833.6346,0.016194,10.98285,g,2.1,0.005614507002,40.00122228,0.1530987577,0.12,NA,NA,NA,NA,0.03535533906,45.205,0.453,0.19,0.6,0.74,NA,EarthChem,M44KH,whole_rock,"IGNEOUS,VOLCANIC,INTERMEDIATE,ADAKITE",M44KH,9.669,-82.621,98.4636035,54.91,0.73,15.77,6.6136035,0.11,7.04,8.2,3.19,1.61,0.29,NA,NA,NA,NA,NA,185.04,NA,NA,NA,43.82,237.01,2,0.98,0.65,NA,2.99,0.36,23.5,NA,0.13,6.78,19.85,5.68,5.35,30,NA,3.55,1120,0.36,0.39,4.15,NA,NA,1.35,NA,10.02,0.9,91,827.273664,30.06499114,2923.84,62.7042573,202.4336561,662.5018013,217.016047,1480.57998,104.9572002,1208.033901,27.46251443,99.40435094,1.723854834,-6.661390968,cam,8.864383101,-142.9846802,52.2225647,8.71883297,7.915157318,107.4337692,CW,Perypheral geothermal,Mature deep,Andesite
CR17CYF,CY_f,CY,CR17,CYF.CY170214_S38571,NA,CR17CYF,10.287497,-84.955524,184,fluid,Central_America,Costa_Rica,Active volcanic arc,Guanacaste_region,Rio Cayuco,spring,plate margin,convergent,oceanic-continental subduction,Forearc,aerial,948789,felsic,igneous,granite,215165,10.3066667,-84.940278,1.70566277,"Galena,Gold,Hematite,Pyrite,Quartz,Sphalerite,Stibnite",72,3.151,6.31,26.7,0.2467956,0.04,5.24,994.9,0,3.90521,1.82,0.0018,0.00139,1.11783,g,0.59,0.1539073684,15.43938394,4.42,0.005762,0,0.03620548387,19.14,0.00181,0.1397042857,18.30385261,0.09306666667,0.8131575448,0.97,3.41,326.9,EarthChem,BOMB_80_7,whole_rock,"IGNEOUS,VOLCANIC,INTERMEDIATE,ANDESITE",BOMB_80_7,10.467,-84.733,99.91,53.3,0.65,18.77,8.6,0.18,5.58,9.54,2.68,0.43,0.18,NA,90.594,25.594,0.73,30.028,164.937,79.568,351.962,NA,18.655,53.062,2.74,1.612,0.98,NA,2.978,0.563,8.121,6.385,0.245,2.484,11.491,2.004,2.635,6.821,25.149,2.946,587.913,0.147,0.46,0.599,NA,0.023,0.232,0.169,16.125,1.574,38.523,710,38.2,55.3,35.7,139,759.7,366.3,1379.4,34.1,1396.6,23.2,85.6,1.7,298,cam,4.3,-59,39.2,8.5,8.1,104.1,CY,Perypheral geothermal,Mature deep,Basaltic Andesite
CR17CYS,CY_s,CY,CR17,CYS.CY170214_S38579,CR17CYS,CR17CYS,10.287497,-84.955524,184,sediment,Central_America,Costa_Rica,Active volcanic arc,Guanacaste_region,Rio Cayuco,spring,plate margin,convergent,oceanic-continental subduction,Forearc,aerial,948789,felsic,igneous,granite,215165,10.3066667,-84.940278,1.70566277,"Galena,Gold,Hematite,Pyrite,Quartz,Sphalerite,Stibnite",72,3.151,6.31,26.7,0.2467956,0.04,5.24,994.9,0,3.90521,1.82,0.0018,0.00139,1.11783,g,0.59,,,,,NA,0.03620548387,NA,,,,,,,,NA,EarthChem,BOMB_80_7,whole_rock,"IGNEOUS,VOLCANIC,INTERMEDIATE,ANDESITE",BOMB_80_7,10.467,-84.733,99.91,53.3,0.65,18.77,8.6,0.18,5.58,9.54,2.68,0.43,0.18,NA,90.594,25.594,0.73,30.028,164.937,79.568,351.962,NA,18.655,53.062,2.74,1.612,0.98,NA,2.978,0.563,8.121,6.385,0.245,2.484,11.491,2.004,2.635,6.821,25.149,2.946,587.913,0.147,0.46,0.599,NA,0.023,0.232,0.169,16.125,1.574,38.523,710,38.2,55.3,35.7,139,759.7,366.3,1379.4,34.1,1396.6,23.2,85.6,1.7,298,cam,4.3,-59,39.2,8.5,8.1,104.1,CY,Perypheral geothermal,Mature deep,Basaltic Andesite
CR18CZS,CZ_s,CZ,CR18,CZ180409.s_S44289,CR18CZS,NA,7.71407,-81.28832,60,sediment,Central_America,Panama,Panama slab window,NA,Salitral Carrizal,spring,plate margin,convergent,oceanic-continental subduction,Outer Forearc,aerial,948780,felsic,igneous,granite,265541,7.58472222,-80.586389,78.82789988,"""Dickite,Gold,Kaolinite,Muscovite,Pyrite""",26.3,0.22,10,11,0.64,NA,0.86,937.6431,0,55.43739,NA,0.031349,0,4.881951,w,NA,,,,,NA,NA,NA,,,,,,,,NA,EarthChem,G54,whole_rock,"IGNEOUS,VOLCANIC,MAFIC, THOLEIITE",G54,7.6517,-81.2157,97.723,47.74,1.66,13.33,12.94,0.2,7.19,11.36,3.08,0.09,0.133,1.66,221,49,NA,83,346,87,42,NA,14.302,164,5.341,3.072,1.279,22,4.574,NA,5.812,NA,0.441,16,10.755,0.29,2.171,0.634,NA,3.533,129,0.386,0.811,0.491,NA,NA,0.158,NA,36,3.011,92,1100.077986,19.19680179,2.07516,12.81799677,179.260717,462.3842923,165.4076671,1463.2008,98.25700556,927.7754206,31.52958915,94.15304401,2.356378592,55.691126,cam,177.808136,-8.257261276,13.01716805,5.266517639,66.98139191,111.391571,CZ,Alkaline soda springs,Mature deep,Basalt
CR18CZF,CZ_f,CZ,CR18,CZ180409.f_S44260,NA,NA,7.71407,-81.28832,60,fluid,Central_America,Panama,Panama slab window,NA,Salitral Carrizal,spring,plate margin,convergent,oceanic-continental subduction,Outer Forearc,aerial,948780,felsic,igneous,granite,265541,7.58472222,-80.586389,78.82789988,"""Dickite,Gold,Kaolinite,Muscovite,Pyrite""",26.3,0.22,10,11,0.64,NA,0.86,937.6431,0,55.43739,NA,0.031349,0,4.881951,w,NA,0.1035174728,0.03469381999,0.09053369422,0,NA,NA,NA,NA,0.03535533906,3.361,0.075,0.055,0.27,0.78,NA,EarthChem,G54,whole_rock,"IGNEOUS,VOLCANIC,MAFIC, THOLEIITE",G54,7.6517,-81.2157,97.723,47.74,1.66,13.33,12.94,0.2,7.19,11.36,3.08,0.09,0.133,1.66,221,49,NA,83,346,87,42,NA,14.302,164,5.341,3.072,1.279,22,4.574,NA,5.812,NA,0.441,16,10.755,0.29,2.171,0.634,NA,3.533,129,0.386,0.811,0.491,NA,NA,0.158,NA,36,3.011,92,1100.077986,19.19680179,2.07516,12.81799677,179.260717,462.3842923,165.4076671,1463.2008,98.25700556,927.7754206,31.52958915,94.15304401,2.356378592,55.691126,cam,177.808136,-8.257261276,13.01716805,5.266517639,66.98139191,111.391571,CZ,Alkaline soda springs,Mature deep,Basalt
CR17DSF,DS_s,DS,,DS170420.f_S44276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR17EPF,EP_f,EP,CR17,EPF.EP170215_S38586,NA,CR17EPF,9.901885,-85.454327,126,fluid,Central_America,Costa_Rica,Costa Rica outer forearc,Nicoya,Espabel,spring,plate margin,convergent,oceanic-continental subduction,Outer Forearc,aerial,3186035,mafic,igneous,basalt,246312,10.0077778,-85.470833,2.05826641,"Awaruite,Bornite,Brucite,Calcite,Chalcocite,Chalcopyrite,Chromite,Copper,Covellite,Cubanite,Cuprite,Erlichmanite,Heazlewoodite,Laurite,Magnetite,Osmium,Pentlandite,Polydymite,Pyrite,Pyrrhotite,Samaniite,Smythite,Sugakiite,Taenite,Talc,Violarite",26,0.097,9.99,4,3.1,0.06,0.55,0,0,942.35128,0.22,3.82052,0.08637,29.17423,w,NA,0.005211578947,0.2339501408,0.03,0,0,0.04682032258,0.08,0.0005838947368,0.0005971428571,1.248731739,0.001283888889,0.03935780051,0.49,0.48,0,EarthChem,CA-021106-7,WHOLE ROCK,"IGNEOUS, VOLCANIC, INTERMEDIATE, ANDESITE",CA-021106-7,9.8589,-84.3813,98.09,48.58,0.85,19.23,9.717948,0.2,4.67,9.9,2.6,0.94,0.32,NA,152,NA,NA,29,239.37,70,837.84,NA,30.13,89,2.81,1.67,1.19,NA,3.53,0.52,17.13,NA,0.26,1.92,16.94,3.02,3.92,12,NA,3.65,883,0.09,0.48,4.69,NA,891.7,0.86,NA,17.89,1.69,51.09,748.5287548,32.57550585,108.673,18.65801439,72.51864982,738.277275,376.1920608,1313.282586,98.04072799,1397.409436,19.80781401,84.60213392,2.45463902,232.4189459,cam,4.1170412,-23.09407234,20.63993263,8.452852249,4.722378254,103.303894,EP,Alkaline soda springs,Mature deep,Basalt
CR17EPS,EP_s,EP,CR17,EPS.EP170215_S38600,CR17EPS,CR17EPS,9.901885,-85.454327,126,sediment,Central_America,Costa_Rica,Costa Rica outer forearc,Nicoya,Espabel,spring,plate margin,convergent,oceanic-continental subduction,Outer Forearc,aerial,3186035,mafic,igneous,basalt,246312,10.0077778,-85.470833,2.05826641,"Awaruite,Bornite,Brucite,Calcite,Chalcocite,Chalcopyrite,Chromite,Copper,Covellite,Cubanite,Cuprite,Erlichmanite,Heazlewoodite,Laurite,Magnetite,Osmium,Pentlandite,Polydymite,Pyrite,Pyrrhotite,Samaniite,Smythite,Sugakiite,Taenite,Talc,Violarite",26,0.097,9.99,4,3.1,0.06,0.55,0,0,942.35128,0.22,3.82052,0.08637,29.17423,w,NA,,,,,NA,0.04682032258,NA,,,,,,,,NA,EarthChem,CA-021106-7,WHOLE ROCK,"IGNEOUS, VOLCANIC, INTERMEDIATE, ANDESITE",CA-021106-7,9.8589,-84.3813,98.09,48.58,0.85,19.23,9.717948,0.2,4.67,9.9,2.6,0.94,0.32,NA,152,NA,NA,29,239.37,70,837.84,NA,30.13,89,2.81,1.67,1.19,NA,3.53,0.52,17.13,NA,0.26,1.92,16.94,3.02,3.92,12,NA,3.65,883,0.09,0.48,4.69,NA,891.7,0.86,NA,17.89,1.69,51.09,748.5287548,32.57550585,108.673,18.65801439,72.51864982,738.277275,376.1920608,1313.282586,98.04072799,1397.409436,19.80781401,84.60213392,2.45463902,232.4189459,cam,4.1170412,-23.09407234,20.63993263,8.452852249,4.722378254,103.303894,EP,Alkaline soda springs,Mature deep,Basalt
CR18ERS,ER_s,ER,CR18,ER180415.s_S44249,CR18ERS,NA,9.938223,-83.161331,89,sediment,Central_America,Costa_Rica,Active volcanic backarc,Rio Blanco Er Resbala,Rio Blanco Er Resbala,spring,plate margin,convergent,oceanic-continental subduction,Backarc,aerial,3190790,unclassified volcanic rocks,igneous,igneous_uncl,187365,9.70888889,-83.234722,8.70168232,"Actinolite,Alunite,Analcime,Baryte,Bornite,Calcite,Chalcocite,Chalcopyrite,Chrysocolla,Epidote,Galena,Gold,Gypsum,Hematite,Kaolinite,Magnetite,Malachite,Mesolite,Molybdenite,Muscovite,Natrolite,Offretite,Prehnite,Pyrite,Sphalerite,Thomsonite-Ca",NA,NA,NA,NA,1.39,NA,NA,0,0.4128,774.0281,NA,0.258579,0.081044,215.4285,w,6.5,,,,,NA,NA,NA,,,,,,,,NA,EarthChem,QS-011107-1,whole_rock,"IGNEOUS,VOLCANIC,MAFIC,BASALT",QS-011107-1,9.9849,-83.2187,96.7250373,44.91,1.73,15.01,9.2950373,0.17,10.58,10.28,2.51,1.6,0.64,NA,NA,NA,NA,NA,224.03,NA,623.96,NA,81.74,353.66,4.98,2.39,2.41,NA,7.36,0.87,45.74,NA,0.34,32.8,39.71,2.67,9.61,31,NA,7.92,965,2.03,0.95,4.87,NA,NA,1.55,NA,27.24,2.28,203,793.2086316,32.21002653,2324.04,31.19617281,195.5160683,687.0174298,242.8965627,1471.822008,67.10235613,1248.625658,30.02506752,96.78608745,1.684815539,192.4301828,cam,5.441083064,-149.1234741,56.15724945,8.666784287,7.962999344,106.6104584,ER,,Mature deep,Picro Basalt
CR18ERF,ER_f,ER,CR18,ER180415.f_S44264,NA,NA,9.938223,-83.161331,89,fluid,Central_America,Costa_Rica,Active volcanic backarc,Rio Blanco Er Resbala,Rio Blanco Er Resbala,spring,plate margin,convergent,oceanic-continental subduction,Backarc,aerial,3190790,unclassified volcanic rocks,igneous,igneous_uncl,187365,9.70888889,-83.234722,8.70168232,"Actinolite,Alunite,Analcime,Baryte,Bornite,Calcite,Chalcocite,Chalcopyrite,Chrysocolla,Epidote,Galena,Gold,Gypsum,Hematite,Kaolinite,Magnetite,Malachite,Mesolite,Molybdenite,Muscovite,Natrolite,Offretite,Prehnite,Pyrite,Sphalerite,Thomsonite-Ca",NA,NA,NA,NA,1.39,NA,NA,0,0.4128,774.0281,NA,0.258579,0.081044,215.4285,w,6.5,0.1093074332,12.52296468,0.4256367548,0.01,NA,NA,NA,NA,0.004,7.929,0.15,0.07,0.38,1.46,NA,EarthChem,QS-011107-1,whole_rock,"IGNEOUS,VOLCANIC,MAFIC,BASALT",QS-011107-1,9.9849,-83.2187,96.7250373,44.91,1.73,15.01,9.2950373,0.17,10.58,10.28,2.51,1.6,0.64,NA,NA,NA,NA,NA,224.03,NA,623.96,NA,81.74,353.66,4.98,2.39,2.41,NA,7.36,0.87,45.74,NA,0.34,32.8,39.71,2.67,9.61,31,NA,7.92,965,2.03,0.95,4.87,NA,NA,1.55,NA,27.24,2.28,203,793.2086316,32.21002653,2324.04,31.19617281,195.5160683,687.0174298,242.8965627,1471.822008,67.10235613,1248.625658,30.02506752,96.78608745,1.684815539,192.4301828,cam,5.441083064,-149.1234741,56.15724945,8.666784287,7.962999344,106.6104584,ER,,Mature deep,Picro Basalt
CR17ESF9,ES_f,ES,CR17,ESF9.ES.F9_S38599,CR17ESF9,CR17ESF9,9.899005,-85.453514,122,fluid,Central_America,Costa_Rica,Costa Rica outer forearc,Nicoya,Estrada,spring,plate margin,convergent,oceanic-continental subduction,Outer Forearc,aerial,3186035,mafic,igneous,basalt,246312,10.0077778,-85.470833,2.1504617,"Awaruite,Bornite,Brucite,Calcite,Chalcocite,Chalcopyrite,Chromite,Copper,Covellite,Cubanite,Cuprite,Erlichmanite,Heazlewoodite,Laurite,Magnetite,Osmium,Pentlandite,Polydymite,Pyrite,Pyrrhotite,Samaniite,Smythite,Sugakiite,Taenite,Talc,Violarite",27,0.11,9.75,48.3,NA,NA,1.14,NA,NA,NA,1.57,NA,NA,NA,w,NA,0.01101684211,1.06332,0.16,0.00053175,NA,0.08072983871,0.28,0.0007451578947,0.0002214285714,2.292455652,0.5920227778,0.1396800512,0.04,0.31,0,EarthChem,CA-021106-7,WHOLE ROCK,"IGNEOUS, VOLCANIC, INTERMEDIATE, ANDESITE",CA-021106-7,9.8589,-84.3813,98.09,48.58,0.85,19.23,9.717948,0.2,4.67,9.9,2.6,0.94,0.32,NA,152,NA,NA,29,239.37,70,837.84,NA,30.13,89,2.81,1.67,1.19,NA,3.53,0.52,17.13,NA,0.26,1.92,16.94,3.02,3.92,12,NA,3.65,883,0.09,0.48,4.69,NA,891.7,0.86,NA,17.89,1.69,51.09,748.8502459,32.55998034,108.652,18.54635279,72.31788119,737.9488892,375.9240284,1313.067895,98.27861021,1397.108315,20.0411135,84.68998245,2.457090309,212.7793861,cam,4.113935649,-23.09407234,20.63993263,8.452852249,4.722378254,103.303894,ES,Alkaline soda springs,Mature deep,Basalt
CR17ETS,ET_s,ET,CR17,ETS.ET170220_S38570,CR17ETS,CR17ETS,10.484006,-84.675853,368,sediment,Central_America,Costa_Rica,Active volcanic arc,Guanacaste_region,Eco Thermales,spring,plate margin,convergent,oceanic-continental subduction,Arc,aerial,951224,felsic,igneous,granite,285909,9.86666667,-84.7,6.89906506,"Calcite,Thomsonite-Ca",40,0.97,6.04,13.4,1.0475886,0.16,NA,NA,NA,NA,NA,NA,NA,NA,g,NA,,,,,NA,0.05326258065,NA,,,,,,,,NA,EarthChem,BOMB_80_7,whole_rock,"IGNEOUS,VOLCANIC,INTERMEDIATE,ANDESITE",BOMB_80_7,10.467,-84.733,99.91,53.3,0.65,18.77,8.6,0.18,5.58,9.54,2.68,0.43,0.18,NA,90.594,25.594,0.73,30.028,164.937,79.568,351.962,NA,18.655,53.062,2.74,1.612,0.98,NA,2.978,0.563,8.121,6.385,0.245,2.484,11.491,2.004,2.635,6.821,25.149,2.946,587.913,0.147,0.46,0.599,NA,0.023,0.232,0.169,16.125,1.574,38.523,692.6,40.1,12.2,58.4,172.5,772.1,364.7,1414.8,4.5,1395.9,23.5,87.1,1.6,441.4,cam,3.2,-97.9,56.3,8.5,8.1,104.1,ET,,calcite,Basaltic Andesite
